mu,loss_pk,val_loss_pk,loss_linear,val_loss_linear,loss_bilinear,val_loss_bilinear
mu_0,4.345986848193075e-09,1.290062380437352e-08,3.181747477037576e-07,1.0999460545080276e-08,1.3777172762298073e-09,3.1895254775884707e-09
mu_1,3.2800006186351587e-09,1.1631388345667131e-08,1.448399195380342e-06,1.2184679625545255e-06,2.8518295529091882e-06,1.3580343680167978e-06
mu_2,4.440894895269544e-09,1.4520294319254182e-08,6.570929909416948e-06,4.743209058227738e-06,4.574012297014953e-06,4.874569512656396e-06
mu_3,8.452661611737002e-09,2.0106437946555704e-08,1.0632869644405603e-05,1.1517232378692682e-05,1.1605763636412083e-05,1.1367877344145135e-05
mu_4,1.7193269202058294e-08,3.449398401960696e-08,1.8178667668468945e-05,2.078690127431508e-05,2.052178566775765e-05,2.306043342263137e-05
