mu,dict_layer_size,K_layer_size,mean_loss
0,"[64, 64]",[32],1.0805328546576112e-08
0,"[64, 64]",[64],7.124358370085589e-09
0,"[64, 64]",[128],8.232394079609206e-09
0,"[64, 64]","[32, 32]",6.047984748649189e-09
0,"[64, 64]","[64, 64]",6.7513755055701144e-09
0,"[64, 64]","[128, 128]",8.282041244514868e-09
