mu,dict_layer_size,K_layer_size,mean_loss
4,"[64, 64]",[32],2.2607728572837906e-08
4,"[64, 64]",[64],1.9783110138562015e-08
4,"[64, 64]",[128],2.154020886129774e-08
4,"[64, 64]","[32, 32]",2.707127012447251e-08
4,"[64, 64]","[64, 64]",2.258942551372236e-08
4,"[64, 64]","[128, 128]",2.008893814282319e-08
