mu,dict_layer_size,K_layer_size,mean_loss
2,"[64, 64]",[32],1.2724856637853549e-08
2,"[64, 64]",[64],9.289273077469298e-09
2,"[64, 64]",[128],8.312719393520452e-09
2,"[64, 64]","[32, 32]",8.430554669386358e-09
2,"[64, 64]","[64, 64]",7.073832241756646e-09
2,"[64, 64]","[128, 128]",8.292676146802957e-09
