mu,loss_pk,val_loss_pk,loss_linear,val_loss_linear,loss_bilinear,val_loss_bilinear
mu_0,3.3755243408920806e-09,1.1526433639278904e-08,4.991971157338019e-07,1.3033353817315728e-08,4.378241475117835e-09,3.3051073647640837e-09
mu_1,2.0622935233411487e-08,4.118612084731812e-08,1.4144470649382383e-06,1.2340407736743718e-06,1.7267328959308309e-06,1.2939910841963963e-06
mu_2,6.7548570536026965e-09,2.1184590921191644e-08,4.54453825468135e-06,4.897819873098012e-06,6.297972652857095e-06,5.3050288887087e-06
mu_3,1.7277903758604557e-08,4.003143907409461e-08,1.1192497855239731e-05,1.1480785990288246e-05,1.036802275788319e-05,1.1547704849884964e-05
mu_4,1.4704888718160258e-08,3.2702021825222836e-08,1.953410904396138e-05,2.2360594558264153e-05,1.9677707334934255e-05,2.1499986330627618e-05
