mu,dict_layer_size,K_layer_size,mean_loss
3,"[64, 64]",[32],1.7640394656523218e-08
3,"[64, 64]",[64],1.0977776583567472e-08
3,"[64, 64]",[128],1.472918764887252e-08
3,"[64, 64]","[32, 32]",1.4934167126237777e-08
3,"[64, 64]","[64, 64]",1.3597750879855238e-08
3,"[64, 64]","[128, 128]",1.363793243528448e-08
