n_psi_train,n_traj_per_param,dict_layer_size,K_layer_size,mean_loss
1,500,"[100, 100, 100]","[256, 256, 256]",3.832591137855296e-05
5,500,"[100, 100, 100]","[256, 256, 256]",1.0935223662696644e-05
10,500,"[100, 100, 100]","[256, 256, 256]",8.114708775853205e-06
15,500,"[100, 100, 100]","[256, 256, 256]",4.352240485385079e-06
20,500,"[100, 100, 100]","[256, 256, 256]",2.9318256098101646e-06
22,500,"[100, 100, 100]","[256, 256, 256]",4.68945066814656e-06
25,500,"[100, 100, 100]","[256, 256, 256]",2.919997745170047e-06
